asset1,asset2,covariance,correlation,sampled_covariance
ADSK,ADSK,0.00114411,1,9.15E-06
ADSK,ASBC,7.14E-05,0.113677,-7.35E-08
ADSK,BBV,0.000121152,0.171578,-1.17E-07
ADSK,BOW,5.88E-05,0.0821338,-1.05E-06
ADSK,BXS,4.88E-05,0.0649285,3.33E-07
ADSK,CAJ,9.87E-05,0.136328,-1.83E-07
ADSK,CCU,9.38E-05,0.117324,2.80E-07
ADSK,CI,6.85E-05,0.113866,1.73E-07
ADSK,CIN,2.50E-05,0.062469,-3.50E-07
ADSK,CTAS,0.000124475,0.158089,1.11E-06
ADSK,CTL,9.76E-05,0.149475,2.29E-07
ADSK,CVC,9.82E-05,0.116247,1.91E-07
ADSK,DAL,0.000130735,0.169077,-4.35E-07
ADSK,DDS,0.000117647,0.149478,8.78E-07
ADSK,DUK,1.49E-05,0.033785,-1.82E-07
ADSK,EIX,2.56E-05,0.0344564,5.72E-08
ADSK,ETR,6.63E-06,0.0136596,-2.46E-07
ADSK,FISV,0.000130891,0.150579,1.23E-06
ADSK,FNF,8.39E-05,0.101331,7.93E-07
ADSK,FRE,0.00010043,0.145592,-5.44E-07
ADSK,GENZ,0.00019973,0.180023,1.37E-06
ADSK,GPC,6.04E-05,0.132387,-1.29E-07
ADSK,HP,9.62E-05,0.120853,1.25E-06
ADSK,IR,0.000120146,0.164606,-3.93E-07
ADSK,KBH,0.000150784,0.155709,2.66E-07
ADSK,KLAC,0.000395888,0.268833,3.80E-06
ADSK,LNT,2.56E-05,0.0625761,3.03E-08
ADSK,LOW,0.000131429,0.149176,2.51E-07
ADSK,LRCX,0.000344938,0.167243,-4.58E-06
ADSK,LZ,8.49E-05,0.149128,-3.21E-07
ADSK,MIK,0.000179682,0.148313,1.02E-06
ADSK,MMM,7.59E-05,0.146464,-2.72E-07
ADSK,MWV,7.54E-05,0.122466,-4.31E-07
ADSK,NDE,8.88E-05,0.0951249,-1.83E-07
ADSK,NFG,1.58E-05,0.0369698,7.89E-07
ADSK,NTRS,8.81E-05,0.135221,7.48E-07
ADSK,NYT,8.57E-05,0.134784,-8.74E-07
ADSK,ODP,0.000135011,0.127806,8.16E-08
ADSK,OKE,5.55E-05,0.0959835,2.81E-07
ADSK,PKS,9.90E-05,0.0518968,-1.10E-07
ADSK,PMTC,0.000399252,0.281164,1.43E-06
ADSK,R,9.19E-05,0.135796,-7.63E-08
ADSK,RSH,0.000159699,0.176695,-4.36E-07
ADSK,SAFC,7.35E-05,0.11804,4.82E-07
ADSK,SKS,7.01E-05,0.0637053,-1.40E-06
ADSK,VZ,6.45E-05,0.1104,-2.18E-07
ADSK,WPO,5.50E-05,0.147179,2.09E-07
ADSK,XRAY,6.40E-05,0.0833702,1.05E-06
ADSK,XRX,0.000135601,0.141491,1.45E-06
ASBC,ASBC,0.00034514,1,3.64E-06
ASBC,BBV,6.24E-05,0.160954,1.65E-07
ASBC,BOW,5.36E-05,0.136291,-8.10E-07
ASBC,BXS,2.57E-05,0.0623122,-3.71E-07
ASBC,CAJ,3.82E-05,0.096092,3.83E-07
ASBC,CCU,6.35E-05,0.144515,6.05E-07
ASBC,CI,4.32E-05,0.13081,4.98E-07
ASBC,CIN,1.90E-05,0.0863774,2.32E-07
ASBC,CTAS,8.27E-05,0.191121,1.70E-06
ASBC,CTL,4.02E-05,0.112158,9.98E-07
ASBC,CVC,4.28E-05,0.0923707,1.90E-07
ASBC,DAL,5.11E-05,0.120279,3.61E-07
ASBC,DDS,5.04E-05,0.116591,3.25E-07
ASBC,DUK,9.24E-06,0.038019,-2.31E-07
ASBC,EIX,2.00E-05,0.048936,-2.01E-07
ASBC,ETR,7.14E-06,0.0267668,3.03E-07
ASBC,FISV,6.49E-05,0.136038,1.24E-06
ASBC,FNF,6.88E-05,0.151155,1.08E-08
ASBC,FRE,6.17E-05,0.162804,5.34E-07
ASBC,GENZ,8.21E-05,0.134677,5.86E-07
ASBC,GPC,4.13E-05,0.16481,7.07E-07
ASBC,HP,4.38E-05,0.100206,-6.80E-07
ASBC,IR,7.55E-05,0.18821,1.19E-06
ASBC,KBH,5.20E-05,0.0977075,5.39E-07
ASBC,KLAC,8.64E-05,0.106824,3.56E-07
ASBC,LNT,1.72E-05,0.076501,2.21E-07
ASBC,LOW,6.70E-05,0.13851,4.95E-07
ASBC,LRCX,6.78E-05,0.0598121,-4.85E-06
ASBC,LZ,4.47E-05,0.142873,6.74E-07
ASBC,MIK,7.26E-05,0.10911,1.30E-07
ASBC,MMM,3.92E-05,0.137812,4.77E-07
