security,price,expected_return,total_return,standard_deviation
ADSK,46.13,0.00031219,1.61535,0.0338247
ASBC,38.71,0.000602102,5.38478,0.0185779
BBV,12.5,0.000547053,4.38956,0.0208754
BOW,52.1,0.000310271,1.59994,0.0211666
BXS,19.82,0.000613472,5.6122,0.0222334
CAJ,36.56,0.000362865,2.05696,0.0213981
CCU,53.91,0.00145247,86.3884,0.0236409
CI,96.29,0.000648328,6.36106,0.0177963
CIN,33.8,0.000408274,2.51566,0.0118478
CTAS,49.19,0.000764675,9.53073,0.0232781
CTL,34.03,0.000416065,2.60101,0.0193076
CVC,38.35,0.000513947,3.86736,0.0249617
DAL,35.26,3.63E-05,0.118287,0.0228598
DDS,25.16,4.00E-05,0.131259,0.0232686
DUK,35.93,0.000481065,3.39877,0.0130811
EIX,17.07,0.000151865,0.596331,0.0219607
ETR,41.52,0.000399055,2.41727,0.0143512
FISV,46.49,0.00103703,23.3471,0.0256986
FNF,27.79,0.0009877,19.9181,0.0244878
FRE,64.95,0.000872044,13.6542,0.0203936
GENZ,50.92,0.000879062,13.9741,0.0328006
GPC,37.51,0.000357503,2.0069,0.0134782
HP,39.9,0.000328435,1.74949,0.0235421
IR,52.94,0.00045061,3.00509,0.0215789
KBH,41.75,0.000432534,2.78829,0.028629
KLAC,65.86,0.00110606,29.1074,0.0435367
LNT,29.51,0.000372899,2.15288,0.0120815
LOW,43.83,0.00105542,24.7643,0.026047
LRCX,28.3,0.00138531,70.0794,0.0609761
LZ,35.07,0.000326951,1.73695,0.0168388
MIK,38.61,0.000881077,14.0672,0.0358173
MMM,122.2,0.000490748,3.53186,0.0153106
MWV,34.64,0.000290733,1.44814,0.0181965
NDE,25.2,0.000992841,20.2516,0.0275941
NFG,24.5,0.000375242,2.1757,0.0126353
NTRS,60.28,0.000865814,13.3759,0.0192529
NYT,48.07,0.000488753,3.50411,0.0187946
ODP,19.7,0.000651445,6.43203,0.0312309
OKE,20.09,0.000490379,3.52671,0.0171031
PKS,15.4,5.72E-05,0.192555,0.0564118
PMTC,7.42,0.000694301,7.47995,0.0419811
R,29.44,0.000261536,1.23765,0.020012
RSH,29.3,0.000409884,2.53313,0.0267204
SAFC,33.32,0.000314097,1.63075,0.0183979
SKS,14.07,0.00046363,3.16889,0.0325322
VZ,47.62,0.000280149,1.36964,0.0172819
WPO,607.87,0.000307305,1.5763,0.0110453
XRAY,35.01,0.000942485,17.2012,0.0226956
XRX,10.54,0.000157418,0.623868,0.0283335
